Module,Week,Session,Session Number,Title,Objective,Topics Covered,Detailed Subtopics/Learning Objectives,Proposed Sessions by,Date,Day,Time
"Module 5: AI-First Software Development (Coding Agents, Workflow, and Context Engineering)",23,23.1,44,Context Engineering,Design effective context for AI coding tools to keep the model grounded in the codebase and reduce hallucinations,What to include in context and what to avoid; grounding the model in the codebase; constraints and guardrails; reducing hallucinations; practical context packing for multi-file tasks,"* Explain what context engineering means in AI-assisted coding
* Select the right files and constraints to include in AI context
* Identify context that should be avoided to reduce noise and errors
* Keep AI outputs grounded in the actual codebase for a given task
* Apply context engineering to reduce hallucinations in a coding exercise",Professor ,27/12/2026,Sunday,11:00 AM - 01:30 PM
"Module 5: AI-First Software Development (Coding Agents, Workflow, and Context Engineering)",23,23.2,45,Specs & UI Design with AI,Use AI to draft product specs and UI flows then refine them with human judgment into implementable requirements,Drafting PRDs with AI; user stories and acceptance criteria; API contracts and edge cases; UI flows and wireframes with AI; translating design into user journeys and API requirements; human review and refinement,"* Draft a PRD or feature brief using AI and refine it with human judgment
* Write user stories and acceptance criteria with AI support
* Generate API contracts and edge cases for a sample feature
* Draft UI flows or wireframes with AI for a simple user journey
* Convert AI-generated design notes into clear implementable requirements",Professor ,02/01/2027,Saturday,05:00 PM - 07:30 PM
"Module 5: AI-First Software Development (Coding Agents, Workflow, and Context Engineering)",24,24.1,46,AI Coding Agents & Personal Workflow,Run a disciplined AI coding agent workflow with plans small diffs and PR review and build a personal AI-first coding framework,AI coding agent workflow; agent proposes a plan; clarifying questions; small diffs; review through pull requests; staying in control of the agent; personal AI-first coding framework across design implementation and debugging,"* Run an AI coding agent workflow where the agent proposes a plan before coding
* Guide the agent with clarifying questions and keep changes as small diffs
* Review AI-generated changes through a pull request style checklist
* Stay in control of the agent instead of accepting large unreviewed edits
* Build a personal repeatable AI-first workflow for design implementation and debugging",Professor ,03/01/2027,Sunday,11:00 AM - 01:30 PM
,,,,Module 5 Evaluation Attempt 1,,,,,,,
,,,,Module 5 Evaluation Attempt 2,,,,,,,
,,,,,,,,,,,
"Module 6: Shipping & Running AI Apps (Multimodal, LLMOps, Quality, Patterns)",24,24.2,47,Deploying FastAPI Applications,Package and deploy FastAPI services with environment management secrets handling and stable production configs,Packaging FastAPI services; environment management; secrets handling; production configs; basic containerization with Docker; stable deployment artifacts,"* Package a FastAPI application for deployment with a clear project layout
* Manage environment variables and secrets for local and production configs
* Create a basic Dockerfile for a FastAPI service
* Deploy or run a containerised FastAPI app with stable configuration
* Apply production config practices that avoid hardcoding secrets",Industry Mentor ,09/01/2027,Saturday,05:00 PM - 07:30 PM
"Module 6: Shipping & Running AI Apps (Multimodal, LLMOps, Quality, Patterns)",25,25.1,48,LLMOps Foundations,Apply LLMOps practices including prompt versioning evaluation sets regression testing caching and cost latency budgeting,Prompt versioning; evaluation sets; regression testing for prompts; caching strategies; latency and cost budgeting; monitoring basic model usage,"* Version prompts and track changes across iterations
* Build a small evaluation set to test prompt quality
* Run basic regression checks when prompts change
* Apply caching strategies to reduce latency and repeated API cost
* Set simple latency and cost budgets for an AI feature",Industry Mentor ,10/01/2027,Sunday,11:00 AM - 01:30 PM
"Module 6: Shipping & Running AI Apps (Multimodal, LLMOps, Quality, Patterns)",25,25.2,49,AI Testing & Code Review,Use AI to generate and validate tests and to review PRs while keeping human ownership of quality,AI-generated test ideas and test cases; running and debugging tests; AI-assisted PR review; identifying risks and refactor suggestions; improving readability; human ownership of final decisions,"* Use AI to generate test ideas and test cases for an existing feature
* Run and debug AI-generated tests like an engineer before accepting them
* Use AI tools to review a pull request and identify risks
* Apply useful refactor and readability suggestions from AI review
* Keep human ownership by accepting or rejecting AI quality suggestions with judgment",Industry Mentor ,16/01/2027,Saturday,05:00 PM - 07:30 PM
"Module 6: Shipping & Running AI Apps (Multimodal, LLMOps, Quality, Patterns)",26,26.1,50,Multimodal AI Features,Build at least one product feature that uses non-text input such as images and integrate it safely into a workflow,Multimodal AI overview; image or non-text input; OpenAI vision or equivalent multimodal API; safe integration into a product workflow; input validation and error handling for multimodal requests,"* Explain how multimodal AI differs from text-only LLM features
* Call a multimodal API with non-text input such as an image
* Build one feature that accepts image or non-text input in an application flow
* Validate multimodal inputs and handle API errors safely
* Integrate the multimodal feature into a simple product workflow end to end",Industry Mentor ,17/01/2027,Sunday,11:00 AM - 01:30 PM
,,,,Module 6 Evaluation Attempt 1,,,,,,,
,,,,Module 6 Evaluation Attempt 2,,,,,,,
,,,,,,,,,,,
Module 7: Capstone Project (Portfolio-Ready AI Product),26,26.2,51,Capstone Planning & Spec,Define capstone scope PRD architecture tech stack database schema API contracts and security approach before building,Project scope and core features; PRD and spec; high-level and low-level design; tech stack selection; database schema; API endpoint planning; request response contracts; authentication and security considerations; architecture notes,"* Define project scope and core features for the capstone product
* Draft a PRD or product spec with user stories and acceptance criteria
* Design high-level architecture and select the technology stack
* Design the database schema and document API endpoint contracts
* Define authentication and security approach before implementation",Other,23/01/2027,Saturday,05:00 PM - 07:30 PM
Module 7: Capstone Project (Portfolio-Ready AI Product),27,27.1,52,Capstone Backend & AI Build,Build the FastAPI backend with database-backed APIs and integrate at least one meaningful AI feature,FastAPI backend implementation; ORM and persistent storage; core business logic; AI feature integration using OpenAI or equivalent; prompt or multimodal feature as applicable; error handling; mentor checkpoint review,"* Build FastAPI endpoints for the capstone backend
* Connect APIs to the database using ORM models
* Implement core server-side business logic for the product
* Integrate at least one meaningful AI feature into the backend
* Complete the backend and AI milestone with mentor review",Other,24/01/2027,Sunday,11:00 AM - 01:30 PM
Module 7: Capstone Project (Portfolio-Ready AI Product),27,27.2,53,Capstone Frontend & Integration,Build a minimal frontend and integrate it with backend and AI features for complete end-to-end user flows,Minimal frontend pages and components; connecting UI to FastAPI; end-to-end user workflows; AI feature consumption from the frontend; integration debugging; mentor checkpoint review,"* Build minimal frontend pages and components for the capstone
* Connect the frontend to backend APIs
* Complete end-to-end user workflows across frontend and backend
* Consume the AI feature from the frontend in a real user flow
* Resolve integration issues across the full stack with mentor support",Other,30/01/2027,Saturday,05:00 PM - 07:30 PM
Module 7: Capstone Project (Portfolio-Ready AI Product),28,28.1,54,Capstone Deployment & Quality Gate,Finalise documentation evaluation notes and deployment and deliver a demo that meets the quality gate,API documentation; README and setup guide; architecture notes; evaluation notes for AI behaviour; clean repository; working deployment; final demo; quality gate checklist; submission readiness,"* Write API documentation README and setup steps another engineer can follow
* Add architecture notes and evaluation notes for AI behaviour
* Deploy the capstone application with a working production-like setup
* Prepare and deliver a short product demo
* Pass the quality gate with a clean repository working deployment and clear documentation",Other,31/01/2027,Sunday,11:00 AM - 01:30 PM
,,,,Capstone Support Session 1 (TBD),,,,,03/02/2027,,
,,,,Capstone Support Session 2 (TBD),,,,,06/02/2027,,
,,,,Capstone Support Session 3 (TBD),,,,,07/02/2027,,
,,,,,,,,,,,
,,,,End of program - offline exam,,,,,,,
